player_name,salary
Goga Bitadze,"$3,098,400"
Trey Murphy,"$3,053,760"
Sterling Brown,"$3,000,000"
Frank Jackson,"$3,000,000"
Josh Green,"$2,957,520"
Tre Mann,"$2,901,240"
Andrew Nicholson,"$2,844,429"
Matisse Thybulle,"$2,840,160"
Saddiq Bey,"$2,824,320"
Kai Jones,"$2,770,560"
Brandon Clarke,"$2,726,880"
Precious Achiuwa,"$2,711,280"
Marc Gasol,"$2,692,991"
Jalen Johnson,"$2,659,680"
LaMarcus Aldridge,"$2,641,691"
James Johnson,"$2,641,691"
Ed Davis,"$2,641,691"
Andre Iguodala,"$2,641,691"
Enes Kanter,"$2,641,691"
Carmelo Anthony,"$2,641,691"
Trevor Ariza,"$2,641,691"
Avery Bradley,"$2,641,691"
Wayne Ellington,"$2,641,691"
Dwight Howard,"$2,641,691"
Udonis Haslem,"$2,641,691"
Markieff Morris,"$2,641,691"
E'Twaun Moore,"$2,641,691"
Paul Millsap,"$2,641,691"
Grant Williams,"$2,617,800"
Tyrese Maxey,"$2,602,920"
Keon Johnson,"$2,553,240"
Darius Bazley,"$2,513,040"
Trey Lyles,"$2,500,000"
Zeke Nnaji,"$2,498,760"
Isaiah Jackson,"$2,451,240"
Ty Jerome,"$2,412,840"
Andre Drummond,"$2,401,537"
Austin Rivers,"$2,401,537"
Kent Bazemore,"$2,401,537"
Hassan Whiteside,"$2,401,537"
Otto Porter,"$2,389,641"
Victor Oladipo,"$2,389,641"
Tony Snell,"$2,389,641"
Solomon Hill,"$2,389,641"
Ben McLemore,"$2,389,641"
Cody Zeller,"$2,389,641"
Usman Garuba,"$2,353,320"
Leandro Bolmaro,"$2,353,320"
Willy Hernangomez,"$2,327,220"
Edmond Sumner,"$2,320,000"
Nassir Little,"$2,316,240"
RJ Hampton,"$2,303,040"
DeAndre Bembry,"$2,271,045"
Josh Christopher,"$2,259,240"
Monta Ellis,"$2,245,400"
Drew Eubanks,"$2,239,820"
Rodney Hood,"$2,239,544"
Elfrid Payton,"$2,239,544"
Dylan Windler,"$2,239,200"
Immanuel Quickley,"$2,210,640"
John Konchar,"$2,200,000"
Quentin Grimes,"$2,168,640"
Jordan Poole,"$2,161,440"
Bol Bol,"$2,161,152"
Keldon Johnson,"$2,145,720"
Payton Pritchard,"$2,137,440"
Jahlil Okafor,"$2,130,023"
Bones Hyland,"$2,096,880"
Nemanja Bjelica,"$2,089,448"
Frank Kaminsky,"$2,089,448"
Raul Neto,"$2,089,448"
Udoka Azubuike,"$2,075,880"
Jaden McDaniels,"$2,063,280"
Malachi Flynn,"$2,048,040"
DeMarcus Cousins,"$2,038,942"
Cam Thomas,"$2,036,280"
Desmond Bane,"$2,033,160"
Jaden Springer,"$2,023,680"
Day'Ron Sharpe,"$2,009,160"
Jordan McLaughlin,"$2,000,000"
Garrison Mathews,"$2,000,000"
Jeremiah Robinson-Earl,"$2,000,000"
Kenrich Williams,"$2,000,000"
Theo Maledon,"$2,000,000"
Abdel Nader,"$2,000,000"
Santiago Aldama,"$1,994,520"
Damian Jones,"$1,977,011"
Wesley Matthews,"$1,958,495"
Timothe Luwawu,"$1,939,350"
Rodney McGruder,"$1,939,350"
