PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
201933,00,0,724,676,32.9,7.4,15.0,0.493,0.7,2.2,0.327,4.3,6.2,0.696,2.0,6.2,8.2,4.1,0.8,0.5,2.4,2.7,19.8
1629656,00,0,46,6,17.1,2.1,5.1,0.404,1.6,4.1,0.381,0.3,0.4,0.684,0.5,1.5,2.0,1.0,0.7,0.2,0.6,1.6,6.0
1629060,00,0,147,118,28.5,5.1,10.7,0.477,0.9,2.4,0.36,1.9,2.5,0.779,1.0,4.2,5.2,1.5,0.7,0.2,1.0,1.9,13.0
1630169,00,0,135,97,32.9,5.3,11.3,0.473,2.1,5.1,0.412,1.5,1.8,0.846,0.7,2.8,3.6,6.9,1.6,0.6,2.2,1.5,14.3
1630181,00,0,115,15,19.9,2.7,6.7,0.404,0.8,2.3,0.337,1.1,1.7,0.653,0.5,2.8,3.2,2.1,0.5,0.2,1.2,1.4,7.3
203501,00,0,586,288,27.0,4.9,11.5,0.422,2.1,6.0,0.357,2.0,2.5,0.812,0.3,2.5,2.8,1.9,0.6,0.1,1.1,1.7,13.9
201935,00,0,942,728,34.6,7.3,16.6,0.442,2.8,7.6,0.361,7.5,8.7,0.86,0.8,4.8,5.6,6.8,1.5,0.5,3.8,2.6,24.9
203090,00,0,621,372,22.6,2.7,5.7,0.474,0.6,1.9,0.32,0.8,1.3,0.624,1.1,2.5,3.5,0.9,0.9,0.6,0.8,2.0,6.9
1629607,00,0,16,0,4.2,0.9,2.1,0.441,0.3,0.9,0.333,0.4,0.5,0.875,0.1,0.1,0.3,0.9,0.3,0.1,0.3,0.4,2.6
1626149,00,0,458,29,21.5,5.2,8.4,0.62,0.0,0.2,0.117,2.5,3.7,0.662,1.9,3.4,5.3,1.4,0.6,0.8,1.1,2.1,12.9
203914,00,0,468,374,28.8,4.4,9.8,0.448,1.5,4.2,0.363,1.5,1.9,0.812,0.6,1.9,2.5,2.1,1.2,0.2,1.2,1.8,11.8
203925,00,0,414,250,25.6,4.0,8.4,0.483,2.1,4.8,0.439,0.9,1.1,0.78,0.6,2.7,3.2,1.6,0.5,0.2,1.2,2.1,11.1
202699,00,0,753,633,31.4,6.2,13.1,0.476,1.3,3.6,0.367,2.5,3.0,0.828,1.0,5.2,6.2,2.3,0.7,0.5,1.4,2.0,16.4
1628404,00,0,296,118,27.3,3.5,7.7,0.45,1.4,4.2,0.347,1.5,2.0,0.739,0.9,4.9,5.7,2.1,0.9,0.4,1.2,2.3,9.9
1628392,00,0,165,4,13.7,2.3,3.9,0.6,0.1,0.3,0.383,1.0,1.5,0.682,1.4,2.5,3.9,1.5,0.5,0.8,1.0,2.2,5.8
2617,00,0,872,500,24.8,3.0,6.2,0.489,0.0,0.1,0.097,1.4,1.9,0.756,1.8,4.8,6.6,0.8,0.5,0.3,0.9,2.4,7.5
1630573,00,0,26,0,6.1,0.9,1.9,0.46,0.7,1.7,0.432,0.0,0.0,0.0,0.2,0.9,1.1,0.4,0.0,0.1,0.1,0.3,2.5
1629637,00,0,194,45,17.7,3.1,4.8,0.634,0.1,0.4,0.36,1.9,2.6,0.723,1.6,2.7,4.3,0.7,0.4,0.8,0.8,2.1,8.1
1630165,00,0,92,58,25.2,2.7,7.2,0.374,0.7,2.6,0.268,0.8,1.0,0.78,0.5,2.6,3.0,4.5,1.1,0.5,2.1,2.6,6.8
202330,00,0,734,571,31.1,5.4,11.9,0.453,1.4,3.7,0.371,3.4,4.1,0.826,0.8,3.7,4.5,3.5,1.0,0.4,2.0,1.7,15.6
1627823,00,0,297,66,15.7,1.8,4.3,0.428,0.8,2.4,0.351,0.9,1.3,0.681,0.8,2.6,3.4,0.6,0.4,0.2,0.5,1.1,5.4
1626195,00,0,306,46,15.3,2.9,5.4,0.534,0.1,0.4,0.309,1.5,2.1,0.702,2.1,3.8,5.9,1.1,0.4,0.4,1.0,1.7,7.4
1629639,00,0,175,33,30.3,6.2,14.0,0.44,2.3,5.9,0.385,2.1,2.5,0.851,0.4,4.3,4.7,3.2,0.6,0.2,2.1,1.4,16.7
1627741,00,0,468,297,29.2,5.8,13.5,0.43,3.0,7.6,0.398,1.3,1.5,0.865,0.7,3.5,4.3,2.5,0.8,0.3,1.8,2.1,15.9
1629312,00,0,24,1,8.5,0.8,2.3,0.357,0.4,1.4,0.303,0.1,0.3,0.286,0.4,0.9,1.3,0.3,0.1,0.1,0.2,0.6,2.2
201588,00,0,869,483,27.2,3.8,8.3,0.456,1.2,3.1,0.38,1.9,2.4,0.807,0.6,2.4,3.0,3.1,0.9,0.3,1.2,2.0,10.7
1630792,00,0,19,0,11.2,1.3,2.7,0.462,0.7,1.9,0.361,0.6,0.7,0.786,0.6,1.3,1.8,0.4,0.4,0.2,0.2,1.3,3.8
1630207,00,0,23,0,4.2,0.7,1.9,0.349,0.2,0.8,0.211,0.3,0.4,0.7,0.0,0.3,0.4,0.3,0.3,0.1,0.3,0.3,1.8
1628988,00,0,245,56,18.2,2.7,6.5,0.412,1.0,2.6,0.373,1.0,1.2,0.84,0.3,1.5,1.8,2.4,0.7,0.2,1.1,1.5,7.3
201950,00,0,839,760,33.2,6.4,13.9,0.46,1.4,3.8,0.363,2.0,2.6,0.776,0.9,3.1,4.0,6.4,1.5,0.5,2.7,2.2,16.2
203200,00,0,576,285,24.6,3.0,7.6,0.398,1.7,4.7,0.365,0.9,1.1,0.82,0.4,2.6,3.0,1.5,1.0,0.4,0.9,1.7,8.7
1626158,00,0,376,160,21.1,4.0,6.5,0.605,0.1,0.4,0.256,1.6,2.1,0.746,1.8,3.9,5.8,1.1,0.6,1.1,0.9,2.7,9.6
203918,00,0,448,253,24.5,3.8,9.0,0.42,1.4,4.0,0.366,1.4,1.7,0.841,0.4,2.2,2.6,1.6,0.7,0.2,1.0,1.9,10.4
201143,00,0,950,940,32.2,5.7,11.1,0.515,0.6,1.8,0.36,1.6,2.1,0.759,2.0,6.1,8.2,3.3,0.8,1.2,1.5,2.2,13.7
